#,Program Title,Agency/Office,Types of Assistance,Date Modified,Date Published
11.609,Measurement and Engineering Research and Standards,Department of Commerce / National Institute of Standards and Technology (NIST),"B - Cooperative Agreements, B - Project Grants",11/8/2015 5:00,1/1/1983 0:00
11.008,NOAA Mission-Related Education Awards,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),"B - Cooperative Agreements, B - Project Grants",8/5/2015 5:00,6/30/2009 9:24
11.015,Broad Agency Announcement,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),"B - Cooperative Agreements, B - Project Grants",11/15/2015 5:00,11/6/2015 5:03
11.478,Center for Sponsored Coastal Ocean Research_Coastal Ocean Program,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),"B - Cooperative Agreements, B - Project Grants",9/20/2014 5:00,1/1/1998 0:00
11.483,NOAA Programs for Disaster Relief Appropriations Act - Non-construction and Construction,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),"B - Cooperative Agreements, B - Project Grants",9/20/2014 5:00,5/29/2013 19:17
12.350,Department of Defense HIV/AIDS Prevention Program,"Department of Defense / Department of the Navy, Office of the Chief of Naval Research","B - Cooperative Agreements, B - Project Grants",9/23/2015 14:46,1/1/2006 0:00
12.615,Research and Technical Assistance,Department of Defense / Office of Economic Adjustment,"B - Cooperative Agreements, B - Project Grants",9/24/2015 14:21,1/1/2008 0:00
12.599,Congressionally Directed Assistance,Department of Defense / Office of the Secretary of Defense,"B - Cooperative Agreements, B - Project Grants",9/28/2014 5:00,3/5/2010 12:50
81.104,Environmental Remediation and Waste Processing and Disposal,Department of Energy,"B - Cooperative Agreements, B - Project Grants",9/11/2015 5:00,1/1/1992 0:00
81.129,"Energy Efficiency and Renewable Energy Technology Deployment, Demonstration and Commercialization",Department of Energy,"B - Cooperative Agreements, B - Project Grants",9/11/2015 5:00,5/22/2009 9:42
93.061,Innovations in Applied Public Health Research,Department of Health and Human Services / Centers for Disease Control and Prevention,"B - Cooperative Agreements, B - Project Grants",6/7/2015 5:00,1/1/2004 0:00
93.136,Injury Prevention and Control Research and State and Community Based Programs,Department of Health and Human Services / Centers for Disease Control and Prevention,"B - Cooperative Agreements, B - Project Grants",7/26/2015 5:00,1/1/1990 0:00
93.359,"Nurse Education, Practice Quality and Retention Grants",Department of Health and Human Services / Health Resources and Services Administration,"B - Cooperative Agreements, B - Project Grants",9/2/2015 9:41,1/1/1990 0:00
93.615,"Affordable Care Act (ACA) Maternal, Infant, and Early Childhood Home Visiting Research Programs",Department of Health and Human Services / Health Resources and Services Administration,"B - Cooperative Agreements, B - Project Grants",9/2/2015 14:37,1/4/2012 13:49
93.321,Dietary Supplement Research Program,Department of Health and Human Services / National Institutes of Health,"B - Cooperative Agreements, B - Project Grants",8/30/2015 5:00,3/16/2014 5:00
93.078,Strengthening Emergency Care Delivery in the United States Healthcare System through Health Information and Promotion,Department of Health and Human Services / Office of the Secretary,"B - Cooperative Agreements, B - Project Grants",9/11/2015 5:00,6/24/2012 5:01
93.081,ASPR Science Preparedness and Response Grants,Department of Health and Human Services / Office of the Secretary,"B - Cooperative Agreements, B - Project Grants",9/11/2015 5:00,12/27/2012 5:00
16.808,Recovery Act - Edward Byrne Memorial Competitive Grant Program,Department of Justice,"B - Cooperative Agreements, B - Project Grants",8/22/2015 5:00,5/15/2009 17:33
16.812,Second Chance Act Reentry Initiative,Department of Justice / Bureau of Justice Assistance,"B - Cooperative Agreements, B - Project Grants",9/4/2015 5:00,6/18/2009 11:50
16.828,"Swift, Certain, and Fair (SCF) Sanctions program: Replicating the Concepts behind Project HOPE",Department of Justice / Bureau of Justice Assistance,"B - Cooperative Agreements, B - Project Grants",9/18/2015 5:00,4/5/2014 5:00
19.703,Criminal Justice Systems,Department of State / International Narcotics and Law Enforcement Affairs,"B - Cooperative Agreements, B - Project Grants",11/16/2011 5:00,11/16/2011 5:00
19.704,Counter Narcotics,Department of State / International Narcotics and Law Enforcement Affairs,"B - Cooperative Agreements, B - Project Grants",11/16/2011 5:00,11/16/2011 5:00
19.705,Trans-National Crime,Department of State / International Narcotics and Law Enforcement Affairs,"B - Cooperative Agreements, B - Project Grants",3/6/2014 9:48,11/16/2011 5:00
20.319,High-Speed Rail Corridors and Intercity Passenger Rail Service – Capital Assistance Grants,Department of Transportation / Federal Railroad Administration (FRA),"B - Cooperative Agreements, B - Project Grants",7/23/2015 5:00,6/17/2009 12:19
20.520,Paul S. Sarbanes Transit in the Parks,Department of Transportation / Federal Transit Administration (FTA),"B - Cooperative Agreements, B - Project Grants",8/5/2015 5:00,10/8/2009 7:37
20.614,National Highway Traffic Safety Administration (NHTSA) Discretionary Safety Grants,Department of Transportation / National Highway Traffic Safety Administration (NHTSA),"B - Cooperative Agreements, B - Project Grants",7/23/2015 5:00,1/1/2006 0:00
66.202,Congressionally Mandated Projects,Environmental Protection Agency / Office of the Chief Financial Officer,"B - Cooperative Agreements, B - Project Grants",9/18/2015 5:00,1/1/2006 0:00
66.203,Environmental Finance Center Grants,Environmental Protection Agency / Office of the Chief Financial Officer,"B - Cooperative Agreements, B - Project Grants",9/18/2015 5:00,1/1/2008 0:00
12.632,Legacy Resource Management Program,Department of Defense / Office of the Secretary of Defense,"B - Cooperative Agreements, B - Project Grants (Contracts)",3/20/2015 14:36,3/20/2015 14:36
93.316,"Public Health Preparedness and Response Science, Research, and Practice",Department of Health and Human Services / Centers for Disease Control and Prevention,"B - Cooperative Agreements, B - Project Grants (Contracts)",8/15/2015 5:01,3/6/2014 5:00
12.810,Air Force Medical Research and Development,"Department of Defense / Department of the Air Force, Medical Support Agency","B - Cooperative Agreements, B - Project Grants (Cooperative Agreements or Contracts)",4/10/2015 5:00,4/10/2015 5:00
20.239,Motor Carrier Research and Technology Programs,Department of Transportation / Federal Motor Carrier Safety Administration (FMCSA),"B - Cooperative Agreements, B - Project Grants, B - Project Grants (Contracts)",8/12/2015 5:00,9/11/2009 8:40
19.979,Office of Security Affairs,Department of State / Bureau of African Affairs,"B - Cooperative Agreements, B - Project Grants, B - Project Grants (Cooperative Agreements)",8/1/2015 5:00,8/1/2015 5:00
20.232,Commercial Driver's License Program Improvement Grant,Department of Transportation / Federal Motor Carrier Safety Administration (FMCSA),"B - Cooperative Agreements, B - Project Grants, B - Project Grants (Discretionary)",8/8/2015 5:00,1/1/2005 0:00
19.901,Export Control and Related Border Security,Department of State / Bureau of International Security and Nonproliferation,"B - Cooperative Agreements, B - Project Grants, B - Project Grants (including travel grants)",7/12/2011 12:17,4/15/2011 5:00
12.600,Community Investment,Department of Defense / Office of Economic Adjustment,"B - Cooperative Agreements, B - Project Grants, L - Dissemination of Technical Information",9/24/2015 11:03,10/22/2010 11:29
12.604,Community Economic Adjustment Assistance for Reductions in Defense Spending,Department of Defense / Office of Economic Adjustment,"B - Cooperative Agreements, B - Project Grants, L - Dissemination of Technical Information",10/20/2015 15:50,11/30/2012 15:08
10.575,Farm to School Grant Program,Department of Agriculture / Food and Nutrition Service,"B - Cooperative Agreements, B - Project Grants, L - Dissemination of Technical Information, M - Training",8/28/2015 5:00,4/1/2012 5:01
93.242,Mental Health Research Grants,Department of Health and Human Services / National Institutes of Health,"B - Cooperative Agreements, B - Project Grants, M - Training",9/5/2015 5:00,1/1/1990 0:00
10.961,Scientific Cooperation and Research,Department of Agriculture / Foreign Agricultural Service,"B - Cooperative Agreements, C - DIRECT PAYMENTS FOR A SPECIFIED USE",9/4/2015 5:00,1/1/1986 0:00
10.960,Technical Agricultural Assistance,Department of Agriculture / Foreign Agricultural Service,"B - Cooperative Agreements, C - Direct Payments for Specified Use",9/4/2015 5:00,1/1/1986 0:00
15.937,Redwood National Park Cooperative Management with the State of California,Department of the Interior / National Park Service,"B - Cooperative Agreements, H - Sale, Exchange, or Donation of Property and Goods, I - Use of Property, Facilities, and Equipment, K - Advisory Services and Counseling, L - Dissemination of Technical Information, M - Training",8/28/2015 5:01,3/11/2010 14:12
97.106,Securing the Cities Program,Department of Homeland Security,"B - Cooperative Agreements, I - USE OF PROPERTY, FACILITIES, OR EQUIPMENT, L - DISSEMINATION OF TECHNICAL INFORMATION",6/10/2015 5:00,1/1/2007 0:00
15.955,Martin Luther King Junior National Historic Site and Preservation District,Department of the Interior / National Park Service,"B - Cooperative Agreements, K - Advisory Services and Counseling",8/28/2015 5:01,4/18/2013 5:00
20.215,Highway Training and Education,Department of Transportation / Federal Highway Administration (FHWA),"B - Cooperative Agreements, M - TRAINING",7/27/2015 5:00,1/1/1980 0:00
98.009,John Ogonowski Farmer-to-Farmer Program,Agency for International Development,B - PROJECT GRANTS,9/23/2008 0:00,1/1/2004 0:00
98.011,Global Development Alliance,Agency for International Development,B - PROJECT GRANTS,11/4/2008 0:00,1/1/2004 0:00
98.012,USAID Development Partnerships for University Cooperation and Development,Agency for International Development,B - PROJECT GRANTS,9/23/2008 0:00,1/1/2005 0:00
23.001,Appalachian Regional Development (See individual Appalachian Programs),Appalachian Regional Commission,B - PROJECT GRANTS,7/18/2015 5:00,1/1/1969 0:00
23.002,Appalachian Area Development,Appalachian Regional Commission,B - PROJECT GRANTS,7/18/2015 5:00,1/1/1970 0:00
23.011,"Appalachian Research, Technical Assistance, and Demonstration Projects",Appalachian Regional Commission,B - PROJECT GRANTS,7/18/2015 5:00,1/1/1970 0:00
87.002,Virginia Graeme Baker Pool and Spa Safety,Consumer Product Safety Commission,B - Project Grants,1/31/2015 5:00,10/29/2014 16:10
94.003,State Commissions,Corporation for National and Community Service,B - PROJECT GRANTS,12/20/2009 17:32,1/1/1995 0:00
94.006,AmeriCorps,Corporation for National and Community Service,B - PROJECT GRANTS,12/20/2009 17:32,1/1/1995 0:00
94.007,Program Development and Innovation Grants,Corporation for National and Community Service,B - PROJECT GRANTS,8/22/2013 5:00,1/1/1995 0:00
94.024,Social Innovation Fund Pay for Success,Corporation for National and Community Service,B - Project Grants,9/17/2014 5:00,6/27/2014 5:00
94.025,Operation AmeriCorps,Corporation for National and Community Service,B - Project Grants,10/11/2014 5:00,10/11/2014 5:00
10.156,Federal-State Marketing Improvement Program,Department of Agriculture / Agricultural Marketing Service,B - PROJECT GRANTS,7/24/2015 5:00,1/1/1969 0:00
10.170,Specialty Crop Block Grant Program - Farm Bill,Department of Agriculture / Agricultural Marketing Service,B - PROJECT GRANTS,7/24/2015 5:00,1/1/2008 0:00
10.025,"Plant and Animal Disease, Pest Control, and Animal Care",Department of Agriculture / Animal and Plant Health Inspection Service,B - PROJECT GRANTS,9/17/2015 12:57,1/1/1972 0:00
10.028,Wildlife Services,Department of Agriculture / Animal and Plant Health Inspection Service,B - PROJECT GRANTS,8/20/2015 12:25,1/1/1986 0:00
10.117,Biofuel Infrastructure Partnership,Department of Agriculture / Farm Service Agency,B - Project Grants,8/14/2015 5:00,6/19/2015 14:44
